German,English
Ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a 
in,in
ja,Yes
mir,me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,Has
hier,here
haben,to have
fur,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,on
bin,am
noch,still
nur,only 
da,there
dir,to you
sich,itself
einen,a
uns,us
hast,have
dem,to the
kann,can
gut,Well
auch,also
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,out
meine,think
um,around
im,in the
wird,becomes
mein,my
bist,are you
doch,yet
alles,all
wei,white
keine,no
oder,or
nach,after
s,S
nichts,Nothing
man,one
muss,got to
werden,will
will,want
ihnen,them
geht,goes
wo,Where
etwas,some
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,before
los,Come on
konnen,be able
wieder,again
sagen,to say
machen,make
danke,thanks
sehr,very
alle,Everyone
denn,then
mann,husband
tun,do
ihm,him
zum,to the
gehen,walk
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,their
diese,this
euch,you
einer,one
komm,come
uber,above
gibt,are
okay,OK
wissen,to know
deine,yours
mussen,have to
soll,target
werde,will
nie,never
wirklich,really
hey,hey
kein,no
viel,a lot of
weg,away
wurde,became
tut,does
am,at the
des,of
einfach,easy
leben,Life
hatte,would have
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,in order to
ganz,all
ware,were
wollte,wanted to
weit,far
ok,OK
sicher,secure
gesagt,said
frau,Mrs
nun,well
bis,until
wurde,became
leid,suffering
na,n / A
kannst,can
macht,power
dieser,this
zuruck,return
lassen,to let
hallo,Hello
meinen,think
gott,God
seine,his
hatte,would have
zwei,two
konnte,could
genau,I agree
waren,were
zur,to the
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schon,beautiful
glaube,believe
mr.,mr.
ab,away
gerade,just
tag,Day
gesehen,seen
reden,talk
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,no
mutter,mother
raus,Out
gemacht,did
paar,few
mach,make
passiert,happened
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,even
gehort,heard
mochte,would like
ohne,without
hor,horel
her,from
sag,say
meiner,mine
anderen,others
nacht,night
finden,Find
diesen,this
gute,quality
wirst,become
lange,Long
naturlich,naturally
ach,Oh
meinem,my
gar,at all
ins,into the
sei,be
dort,there
weiter,further
geben,give
seit,since
gleich,same
sagt,says
recht,Law
ihren,their
richtig,correct
ordnung,order
vom,from the
horen,Listen
sieht,sees
davon,from that
dafur,Therefore
geh,walk
diesem,this
wegen,because
hause,home
sollten,should
madchen,girl
hin,there
sollen,must
abend,evening
haus,a house
denke,think
viele,many
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,make
menschen,People
essen,meal
angst,fear
bleiben,stay
zusammen,together
welt,world
unter,under
habt,have
schnell,quickly
andere,other
tot,dead
getan,did
darf,may
erst,first
rein,pure
stimmt,Right
nehmen,take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheie,shit
brauchen,to need
gegen,versus
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,music
arbeit,job
seid,are
ihrer,of their
fragen,ask
herr,Mr
dabei,included
heit,Ness
familie,family
warten,waiting
niemand,nobody
sofort,instantly
bevor,before
jahre,years
einmal,once
problem,problem
sohn,son
wann,when
brauche,need
